"Time (UTCG)","Power (W)","Solar Intensity"
1 Jul 2024 00:20:20.000,5.808,1.000000
1 Jul 2024 00:20:30.000,1.642,1.000000
1 Jul 2024 00:20:40.000,7.698,1.000000
1 Jul 2024 00:20:50.000,8.906,1.000000
1 Jul 2024 00:21:00.000,9.216,1.000000
1 Jul 2024 00:21:10.000,5.231,1.000000
1 Jul 2024 00:21:20.000,2.914,1.000000
1 Jul 2024 00:21:30.000,8.321,1.000000
1 Jul 2024 00:21:40.000,8.020,1.000000
1 Jul 2024 00:21:50.000,8.852,1.000000
1 Jul 2024 00:22:00.000,4.406,1.000000
1 Jul 2024 00:22:10.000,4.135,1.000000
1 Jul 2024 00:22:20.000,9.288,1.000000
1 Jul 2024 00:22:30.000,6.746,1.000000
1 Jul 2024 00:22:40.000,8.210,1.000000
1 Jul 2024 00:22:50.000,3.539,1.000000
1 Jul 2024 00:23:00.000,5.202,1.000000
1 Jul 2024 00:23:10.000,9.833,1.000000
1 Jul 2024 00:23:20.000,7.783,1.000000
1 Jul 2024 00:23:30.000,7.263,1.000000
1 Jul 2024 00:23:40.000,2.483,1.000000
1 Jul 2024 00:23:50.000,6.131,1.000000
1 Jul 2024 00:24:00.000,10.124,1.000000
1 Jul 2024 00:24:10.000,8.565,1.000000
1 Jul 2024 00:24:20.000,6.610,1.000000
1 Jul 2024 00:24:30.000,1.310,1.000000
1 Jul 2024 00:24:40.000,6.815,1.000000
1 Jul 2024 00:24:50.000,10.089,1.000000
1 Jul 2024 00:25:00.000,9.118,1.000000
1 Jul 2024 00:25:10.000,6.296,1.000000
1 Jul 2024 00:25:20.000,0.146,1.000000
1 Jul 2024 00:25:30.000,7.331,1.000000
1 Jul 2024 00:25:40.000,9.728,1.000000
1 Jul 2024 00:25:50.000,9.340,1.000000
1 Jul 2024 00:26:00.000,5.928,1.000000
1 Jul 2024 00:26:10.000,1.413,1.000000
1 Jul 2024 00:26:20.000,7.633,1.000000
1 Jul 2024 00:26:30.000,9.063,1.000000
1 Jul 2024 00:26:40.000,9.306,1.000000
1 Jul 2024 00:26:50.000,5.308,1.000000
1 Jul 2024 00:27:00.000,2.685,1.000000
1 Jul 2024 00:27:10.000,8.127,1.000000
1 Jul 2024 00:27:20.000,8.146,1.000000
1 Jul 2024 00:27:30.000,8.924,1.000000
1 Jul 2024 00:27:40.000,4.539,1.000000
1 Jul 2024 00:27:50.000,3.968,1.000000
1 Jul 2024 00:28:00.000,9.080,1.000000
1 Jul 2024 00:28:10.000,6.868,1.000000
1 Jul 2024 00:28:20.000,8.292,1.000000
1 Jul 2024 00:28:30.000,3.677,1.000000
1 Jul 2024 00:28:40.000,5.104,1.000000
1 Jul 2024 00:28:50.000,9.830,1.000000
1 Jul 2024 00:29:00.000,7.632,1.000000
1 Jul 2024 00:29:10.000,7.374,1.000000
1 Jul 2024 00:29:20.000,2.631,1.000000
1 Jul 2024 00:29:30.000,6.016,1.000000
1 Jul 2024 00:29:40.000,10.103,1.000000
1 Jul 2024 00:29:50.000,8.420,1.000000
1 Jul 2024 00:30:00.000,6.565,1.000000
1 Jul 2024 00:30:10.000,1.505,1.000000
1 Jul 2024 00:30:20.000,6.721,1.000000
1 Jul 2024 00:30:30.000,10.112,1.000000
1 Jul 2024 00:30:40.000,9.051,1.000000
1 Jul 2024 00:30:50.000,6.357,1.000000
1 Jul 2024 00:31:00.000,0.414,1.000000
1 Jul 2024 00:31:10.000,7.258,1.000000
1 Jul 2024 00:31:20.000,9.762,1.000000
1 Jul 2024 00:31:30.000,9.334,1.000000
1 Jul 2024 00:31:40.000,5.998,1.000000
1 Jul 2024 00:31:50.000,1.298,1.000000
1 Jul 2024 00:32:00.000,7.570,1.000000
1 Jul 2024 00:32:10.000,9.163,1.000000
1 Jul 2024 00:32:20.000,9.285,1.000000
