"Time (UTCG)","Effective Area (m^2)","Solar Intensity"
1 Jul 2024 00:19:30.000,0.008589,1.000000
1 Jul 2024 00:19:40.000,0.001180,1.000000
1 Jul 2024 00:19:50.000,0.010815,1.000000
1 Jul 2024 00:20:00.000,0.017144,1.000000
1 Jul 2024 00:20:10.000,0.023657,1.000000
1 Jul 2024 00:20:20.000,0.020072,1.000000
1 Jul 2024 00:20:30.000,0.006105,1.000000
1 Jul 2024 00:20:40.000,0.009024,1.000000
1 Jul 2024 00:20:50.000,0.011139,1.000000
1 Jul 2024 00:21:00.000,0.005211,1.000000
1 Jul 2024 00:21:10.000,0.005349,1.000000
1 Jul 2024 00:21:20.000,0.014142,1.000000
1 Jul 2024 00:21:30.000,0.020310,1.000000
1 Jul 2024 00:21:40.000,0.023606,1.000000
1 Jul 2024 00:21:50.000,0.015038,1.000000
1 Jul 2024 00:22:00.000,0.006459,1.000000
1 Jul 2024 00:22:10.000,0.010980,1.000000
1 Jul 2024 00:22:20.000,0.009471,1.000000
1 Jul 2024 00:22:30.000,0.000962,1.000000
1 Jul 2024 00:22:40.000,0.009508,1.000000
1 Jul 2024 00:22:50.000,0.016593,1.000000
1 Jul 2024 00:23:00.000,0.023172,1.000000
1 Jul 2024 00:23:10.000,0.021295,1.000000
1 Jul 2024 00:23:20.000,0.008492,1.000000
1 Jul 2024 00:23:30.000,0.008056,1.000000
1 Jul 2024 00:23:40.000,0.011364,1.000000
1 Jul 2024 00:23:50.000,0.006401,1.000000
1 Jul 2024 00:24:00.000,0.003968,1.000000
1 Jul 2024 00:24:10.000,0.013113,1.000000
1 Jul 2024 00:24:20.000,0.018933,1.000000
1 Jul 2024 00:24:30.000,0.023896,1.000000
1 Jul 2024 00:24:40.000,0.016914,1.000000
1 Jul 2024 00:24:50.000,0.006306,1.000000
1 Jul 2024 00:25:00.000,0.010499,1.000000
1 Jul 2024 00:25:10.000,0.010181,1.000000
1 Jul 2024 00:25:20.000,0.002476,1.000000
